name,year
DeBioData,2021
FAIRagro,2021
InnoMatSafety,2021
NFDI4BIOIMAGE,2021
NFDI4Energy,2021
NFDI4Immuno,2021
NFDI4Memory,2021
NFDI4Mobility,2021
NFDI4Objects,2021
NFDI4Patho,2021
NFDI4Phys,2021
NFDI-Neuro,2021
NFDIxCS,2021
TheoReS,2021
DataPLANT,2019
GHGA,2019
KonsortSWD,2019
NFDI4Biodiversity,2019
NFDI4Cat,2019
NFDI4Chem,2019
NFDI4Culture,2019
NFDI4Health,2019
NFDI4Ing,2019
BERD@NFDI,2020
DAPHNE4NFDI,2020
FAIRmat,2020
MaRDI,2020
NFDI4DataScience,2020
NFDI4Earth,2020
NFDI4Microbiota,2020
NFDI-MatWerk,2020
PUNCH4NFDI,2020
Text+,2020
